model,task,reduction_type,sample_type,exp_type,filename,score,loss,reduction_pass,reduction_time,initial_program,final_program,len_initial_chars,len_final_chars,len_minimal_chars,len_removed_chars,per_removed_chars,initial_tokens,final_tokens,len_initial_tokens,len_final_tokens,len_minimal_tokens,len_removed_tokens,per_removed_tokens
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_2.txt,1.0,0.0,"{'n_total': 144, 'n_valid': 15, 'n_correct': 12}",46.726471,@Override public void onCreate(Bundle savedInstanceState) { super.onCreate(savedInstanceState); setContentView(R.layout.onboarding); },void onCreate(Bundle savedInstanceState){(savedInstanceState);(layout.onboarding);},134,83,14,51,42.5,"['@', 'Override', 'public', 'void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', 'setContentView', '(', 'R', '.', 'layout', '.', 'onboarding', ')', ';', '}']","['void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', '(', 'savedInstanceState', ')', ';', '(', 'layout', '.', 'onboarding', ')', ';', '}']",27,18,6,9,42.85714285714285
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_4.txt,0.9917,0.0102,"{'n_total': 272, 'n_valid': 31, 'n_correct': 23}",91.49714,"@Override public String toString() { if (filterConfig == null) return (""TimingFilter()""); StringBuilder sb = new StringBuilder(""TimingFilter(""); sb.append(filterConfig); sb.append("")""); return (sb.toString()); }","String toString(){if(null)("""");("""");(sb.toString);}",211,51,14,160,81.21827411167513,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'if', '(', 'filterConfig', '==', 'null', ')', 'return', '(', '""TimingFilter()""', ')', ';', 'StringBuilder', 'sb', '=', 'new', 'StringBuilder', '(', '""TimingFilter(""', ')', ';', 'sb', '.', 'append', '(', 'filterConfig', ')', ';', 'sb', '.', 'append', '(', '"")""', ')', ';', 'return', '(', 'sb', '.', 'toString', '(', ')', ')', ';', '}']","['String', 'toString', '(', ')', '{', 'if', '(', 'null', ')', '(', '""""', ')', ';', '(', '""""', ')', ';', '(', 'sb', '.', 'toString', ')', ';', '}']",52,24,6,28,60.86956521739131
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_5.txt,0.9863,0.0149,"{'n_total': 199, 'n_valid': 22, 'n_correct': 22}",68.628955,"@Override public String toString() { if (resource == null) return ""BaseModelMbean["" + resourceType + ""]""; return resource.toString(); }","String toString(){if(null)return""""+"""";toString();}",135,50,14,85,70.24793388429752,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'if', '(', 'resource', '==', 'null', ')', 'return', '""BaseModelMbean[""', '+', 'resourceType', '+', '""]""', ';', 'return', 'resource', '.', 'toString', '(', ')', ';', '}']","['String', 'toString', '(', ')', '{', 'if', '(', 'null', ')', 'return', '""""', '+', '""""', ';', 'toString', '(', ')', ';', '}']",29,19,6,10,43.47826086956522
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_3.txt,1.0,0.0,"{'n_total': 361, 'n_valid': 35, 'n_correct': 33}",108.679374,"@Override public void onCreate(Bundle savedInstanceState) { super.onCreate(savedInstanceState); setContentView(R.layout.main); SharedPreferences sharedPreferences = PreferenceManager.getDefaultSharedPreferences(this); if (!sharedPreferences.getBoolean(OnboardingFragment.COMPLETED_ONBOARDING, false)) { startActivity(new Intent(this, OnboardingActivity.class)); } }",void onCreate(Bundle savedInstanceState){onCreate();(layout);if((OnboardingFragment)){((this));}},365,97,14,268,76.35327635327636,"['@', 'Override', 'public', 'void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', 'setContentView', '(', 'R', '.', 'layout', '.', 'main', ')', ';', 'SharedPreferences', 'sharedPreferences', '=', 'PreferenceManager', '.', 'getDefaultSharedPreferences', '(', 'this', ')', ';', 'if', '(', '!', 'sharedPreferences', '.', 'getBoolean', '(', 'OnboardingFragment', '.', 'COMPLETED_ONBOARDING', ',', 'false', ')', ')', '{', 'startActivity', '(', 'new', 'Intent', '(', 'this', ',', 'OnboardingActivity', '.', 'class', ')', ')', ';', '}', '}']","['void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'onCreate', '(', ')', ';', '(', 'layout', ')', ';', 'if', '(', '(', 'OnboardingFragment', ')', ')', '{', '(', '(', 'this', ')', ')', ';', '}', '}']",66,30,6,36,60.0
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_1.txt,1.0,0.0001,"{'n_total': 202, 'n_valid': 20, 'n_correct': 15}",59.608558,@Override public boolean equals(Object other) { if (other instanceof Stock) { return this.symbol.equals(((Stock) other).symbol); } return false; },boolean equals(){if(other instanceof Stock){(((Stock)).symbol);}return false;},146,78,12,68,50.74626865671642,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'other', ')', '{', 'if', '(', 'other', 'instanceof', 'Stock', ')', '{', 'return', 'this', '.', 'symbol', '.', 'equals', '(', '(', '(', 'Stock', ')', 'other', ')', '.', 'symbol', ')', ';', '}', 'return', 'false', ';', '}']","['boolean', 'equals', '(', ')', '{', 'if', '(', 'other', 'instanceof', 'Stock', ')', '{', '(', '(', '(', 'Stock', ')', ')', '.', 'symbol', ')', ';', '}', 'return', 'false', ';', '}']",39,27,6,12,36.36363636363637
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_3.txt,1.0,0.0001,"{'n_total': 202, 'n_valid': 20, 'n_correct': 15}",62.520592,@Override public boolean equals(Object other) { if (other instanceof Stock) { return this.symbol.equals(((Stock) other).symbol); } return false; },boolean equals(){if(other instanceof Stock){(((Stock)).symbol);}return false;},146,78,12,68,50.74626865671642,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'other', ')', '{', 'if', '(', 'other', 'instanceof', 'Stock', ')', '{', 'return', 'this', '.', 'symbol', '.', 'equals', '(', '(', '(', 'Stock', ')', 'other', ')', '.', 'symbol', ')', ';', '}', 'return', 'false', ';', '}']","['boolean', 'equals', '(', ')', '{', 'if', '(', 'other', 'instanceof', 'Stock', ')', '{', '(', '(', '(', 'Stock', ')', ')', '.', 'symbol', ')', ';', '}', 'return', 'false', ';', '}']",39,27,6,12,36.36363636363637
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,onCreate_1.txt,1.0,0.0,"{'n_total': 135, 'n_valid': 12, 'n_correct': 11}",35.835747,@Override protected void onCreate(Bundle savedInstanceState) { super.onCreate(savedInstanceState); setContentView(R.layout.settings_fragment); },void onCreate(Bundle savedInstanceState){onCreate();setContentView();},144,70,14,74,56.92307692307692,"['@', 'Override', 'protected', 'void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'super', '.', 'onCreate', '(', 'savedInstanceState', ')', ';', 'setContentView', '(', 'R', '.', 'layout', '.', 'settings_fragment', ')', ';', '}']","['void', 'onCreate', '(', 'Bundle', 'savedInstanceState', ')', '{', 'onCreate', '(', ')', ';', 'setContentView', '(', ')', ';', '}']",27,16,6,11,52.38095238095239
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_7.txt,0.9999,0.0001,"{'n_total': 172, 'n_valid': 23, 'n_correct': 23}",68.334135,"@Override public String toString() { if (this.image != null) { return ELParserTreeConstants.jjtNodeName[id] + ""["" + this.image + ""]""; } return ELParserTreeConstants.jjtNodeName[id]; }",String toString(){if(image){}},183,30,14,153,90.53254437869822,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'if', '(', 'this', '.', 'image', '!=', 'null', ')', '{', 'return', 'ELParserTreeConstants', '.', 'jjtNodeName', '[', 'id', ']', '+', '""[""', '+', 'this', '.', 'image', '+', '""]""', ';', '}', 'return', 'ELParserTreeConstants', '.', 'jjtNodeName', '[', 'id', ']', ';', '}']","['String', 'toString', '(', ')', '{', 'if', '(', 'image', ')', '{', '}', '}']",43,12,6,31,83.78378378378379
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,toString_6.txt,0.9977,0.0025,"{'n_total': 261, 'n_valid': 28, 'n_correct': 27}",80.191432,"@Override public String toString() { StringBuilder sb = new StringBuilder(""FilterDef[""); sb.append(""filterName=""); sb.append(this.filterName); sb.append("", filterClass=""); sb.append(this.filterClass); sb.append(""]""); return (sb.toString()); }","String toString(){("""").append("""");(filterClass).append(sb());}",242,62,14,180,78.94736842105263,"['@', 'Override', 'public', 'String', 'toString', '(', ')', '{', 'StringBuilder', 'sb', '=', 'new', 'StringBuilder', '(', '""FilterDef[""', ')', ';', 'sb', '.', 'append', '(', '""filterName=""', ')', ';', 'sb', '.', 'append', '(', 'this', '.', 'filterName', ')', ';', 'sb', '.', 'append', '(', '"", filterClass=""', ')', ';', 'sb', '.', 'append', '(', 'this', '.', 'filterClass', ')', ';', 'sb', '.', 'append', '(', '""]""', ')', ';', 'return', '(', 'sb', '.', 'toString', '(', ')', ')', ';', '}']","['String', 'toString', '(', ')', '{', '(', '""""', ')', '.', 'append', '(', '""""', ')', ';', '(', 'filterClass', ')', '.', 'append', '(', 'sb', '(', ')', ')', ';', '}']",66,26,6,40,66.66666666666666
code2vec,METHOD_NAME,dd_token,freq,dd_token_freq_methods,equals_2.txt,0.9999,0.0001,"{'n_total': 342, 'n_valid': 36, 'n_correct': 34}",105.765034,"@Override public boolean equals(Object o) { if (this == o) { return true; } if (o == null || getClass() != o.getClass()) { return false; } TldResourcePath other = (TldResourcePath) o; return url.equals(other.url) && Objects.equals(webappPath, other.webappPath) && Objects.equals(entryName, other.entryName); }",boolean equals(Object o){if(this==o){}if(getClass()){}other=(TldResourcePath)equals();},309,87,12,222,74.74747474747475,"['@', 'Override', 'public', 'boolean', 'equals', '(', 'Object', 'o', ')', '{', 'if', '(', 'this', '==', 'o', ')', '{', 'return', 'true', ';', '}', 'if', '(', 'o', '==', 'null', '||', 'getClass', '(', ')', '!=', 'o', '.', 'getClass', '(', ')', ')', '{', 'return', 'false', ';', '}', 'TldResourcePath', 'other', '=', '(', 'TldResourcePath', ')', 'o', ';', 'return', 'url', '.', 'equals', '(', 'other', '.', 'url', ')', '&&', 'Objects', '.', 'equals', '(', 'webappPath', ',', 'other', '.', 'webappPath', ')', '&&', 'Objects', '.', 'equals', '(', 'entryName', ',', 'other', '.', 'entryName', ')', ';', '}']","['boolean', 'equals', '(', 'Object', 'o', ')', '{', 'if', '(', 'this', '==', 'o', ')', '{', '}', 'if', '(', 'getClass', '(', ')', ')', '{', '}', 'other', '=', '(', 'TldResourcePath', ')', 'equals', '(', ')', ';', '}']",83,33,6,50,64.93506493506493
